date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:45:46	77698/77698	---MC-	200	added ('OK')	text/html	date:Tue,%2001%20Oct%202024%2009:45:53%20GMT	https://new.express.adobe.com/webpage/F0SNcVdDyLAJm	C:/Users/Cristian/Documents/Website/Asociatia/new.express.adobe.com/webpage/F0SNcVdDyLAJm.html	(from )
12:45:46	47271/47271	---M--	200	added ('OK')	text/html	date:Tue,%2001%20Oct%202024%2009:45:53%20GMT	https://new.express.adobe.com/robots.txt		(from )
12:45:47	255363/255363	---MC-	200	added ('OK')	image/png	date:Tue,%2001%20Oct%202024%2009:45:54%20GMT	https://new.express.adobe.com/webpage/F0SNcVdDyLAJm/resources/1727774686203?asset_id=rendition	C:/Users/Cristian/Documents/Website/Asociatia/new.express.adobe.com/webpage/F0SNcVdDyLAJm/resources/1727774686203246e.png	(from https://new.express.adobe.com/webpage/F0SNcVdDyLAJm)
12:45:47	15406/15406	---M--	200	added ('OK')	image/x-icon	etag:W/%223c2e-0%22	https://new.express.adobe.com/webpage/static/runtime/images/favicon.ico	C:/Users/Cristian/Documents/Website/Asociatia/new.express.adobe.com/webpage/static/runtime/images/favicon.ico	(from https://new.express.adobe.com/webpage/F0SNcVdDyLAJm)
12:45:47	72/72	---M-Z	200	added ('OK')	application/javascript	etag:W/%2258-0%22	https://new.express.adobe.com/webpage/static/runtime/base-fonts.gz.js	C:/Users/Cristian/Documents/Website/Asociatia/new.express.adobe.com/webpage/static/runtime/base-fonts.gz.js	(from https://new.express.adobe.com/webpage/F0SNcVdDyLAJm)
12:45:47	67/67	---M-Z	200	added ('OK')	application/javascript	etag:W/%2252-0%22	https://new.express.adobe.com/webpage/static/runtime/typekit-load.gz.js	C:/Users/Cristian/Documents/Website/Asociatia/new.express.adobe.com/webpage/static/runtime/typekit-load.gz.js	(from https://new.express.adobe.com/webpage/F0SNcVdDyLAJm)
12:45:47	76945/76945	---M-Z	200	added ('OK')	text/css	etag:W/%2234b0-0%22	https://new.express.adobe.com/webpage/static/runtime/runtime.gz.css	C:/Users/Cristian/Documents/Website/Asociatia/new.express.adobe.com/webpage/static/runtime/runtime.gz.css	(from https://new.express.adobe.com/webpage/F0SNcVdDyLAJm)
12:45:48	5755/5755	---M-Z	200	added ('OK')	text/css	date:Tue,%2001%20Oct%202024%2009:45:55%20GMT	https://use.typekit.net/axk5mzt.css	C:/Users/Cristian/Documents/Website/Asociatia/use.typekit.net/axk5mzt.css	(from https://new.express.adobe.com/webpage/F0SNcVdDyLAJm)
12:45:48	7201/7201	---M-Z	200	added ('OK')	text/css	etag:W/%22647-0%22	https://new.express.adobe.com/webpage/static/runtime/noscript.gz.css	C:/Users/Cristian/Documents/Website/Asociatia/new.express.adobe.com/webpage/static/runtime/noscript.gz.css	(from https://new.express.adobe.com/webpage/F0SNcVdDyLAJm)
12:45:49	1050401/1050401	---MC-	200	added ('OK')	image/png	date:Tue,%2001%20Oct%202024%2009:45:55%20GMT	https://new.express.adobe.com/webpage/F0SNcVdDyLAJm/resources/b319b739-63ca-4678-ac9e-97c59270f94b?asset_id=b319b739-63ca-4678-ac9e-97c59270f94b&image_assets=false&size=1024	C:/Users/Cristian/Documents/Website/Asociatia/new.express.adobe.com/webpage/F0SNcVdDyLAJm/resources/b319b739-63ca-4678-ac9e-97c59270f94b26ba.png	(from https://new.express.adobe.com/webpage/F0SNcVdDyLAJm)
12:45:49	1023927/1023927	---MC-	200	added ('OK')	image/png	date:Tue,%2001%20Oct%202024%2009:45:56%20GMT	https://new.express.adobe.com/webpage/F0SNcVdDyLAJm/resources/ef815973-0a35-4f6f-bb87-aa92b3a34ddd?asset_id=ef815973-0a35-4f6f-bb87-aa92b3a34ddd&image_assets=false&size=1024	C:/Users/Cristian/Documents/Website/Asociatia/new.express.adobe.com/webpage/F0SNcVdDyLAJm/resources/ef815973-0a35-4f6f-bb87-aa92b3a34ddd1349.png	(from https://new.express.adobe.com/webpage/F0SNcVdDyLAJm)
12:45:49	898691/898691	---MC-	200	added ('OK')	image/png	date:Tue,%2001%20Oct%202024%2009:45:56%20GMT	https://new.express.adobe.com/webpage/F0SNcVdDyLAJm/resources/b65e6d32-b9d9-41d6-879c-029fb20a4729?asset_id=b65e6d32-b9d9-41d6-879c-029fb20a4729&image_assets=false&size=1024	C:/Users/Cristian/Documents/Website/Asociatia/new.express.adobe.com/webpage/F0SNcVdDyLAJm/resources/b65e6d32-b9d9-41d6-879c-029fb20a4729eb6c.png	(from https://new.express.adobe.com/webpage/F0SNcVdDyLAJm)
12:45:50	824749/824749	---MC-	200	added ('OK')	image/png	date:Tue,%2001%20Oct%202024%2009:45:56%20GMT	https://new.express.adobe.com/webpage/F0SNcVdDyLAJm/resources/6f339674-a0f1-4ece-8cd2-5419326dc61b?asset_id=6f339674-a0f1-4ece-8cd2-5419326dc61b&image_assets=false&size=1024	C:/Users/Cristian/Documents/Website/Asociatia/new.express.adobe.com/webpage/F0SNcVdDyLAJm/resources/6f339674-a0f1-4ece-8cd2-5419326dc61b49c9.png	(from https://new.express.adobe.com/webpage/F0SNcVdDyLAJm)
12:45:50	1200293/1200293	---MC-	200	added ('OK')	image/png	date:Tue,%2001%20Oct%202024%2009:45:57%20GMT	https://new.express.adobe.com/webpage/F0SNcVdDyLAJm/resources/2b7f5d7b-e94e-4626-bbf1-9477ed0dc58e?asset_id=2b7f5d7b-e94e-4626-bbf1-9477ed0dc58e&image_assets=false&size=1024	C:/Users/Cristian/Documents/Website/Asociatia/new.express.adobe.com/webpage/F0SNcVdDyLAJm/resources/2b7f5d7b-e94e-4626-bbf1-9477ed0dc58ee011.png	(from https://new.express.adobe.com/webpage/F0SNcVdDyLAJm)
12:45:50	750563/750563	---MC-	200	added ('OK')	image/png	date:Tue,%2001%20Oct%202024%2009:45:57%20GMT	https://new.express.adobe.com/webpage/F0SNcVdDyLAJm/resources/2043e304-f51d-4007-9866-b0715a674160?asset_id=2043e304-f51d-4007-9866-b0715a674160&image_assets=false&size=1024	C:/Users/Cristian/Documents/Website/Asociatia/new.express.adobe.com/webpage/F0SNcVdDyLAJm/resources/2043e304-f51d-4007-9866-b0715a674160cf61.png	(from https://new.express.adobe.com/webpage/F0SNcVdDyLAJm)
12:45:50	349487/349487	---M-Z	200	added ('OK')	application/javascript	etag:W/%221c3c2-0%22	https://new.express.adobe.com/webpage/static/runtime/runtime-prod.gz.js	C:/Users/Cristian/Documents/Website/Asociatia/new.express.adobe.com/webpage/static/runtime/runtime-prod.gz.js	(from https://new.express.adobe.com/webpage/F0SNcVdDyLAJm)
12:45:50	446/446	---M--	200	added ('OK')	image/png	etag:W/%221be-0%22	https://new.express.adobe.com/webpage/static/runtime/images/arrow-left.png	C:/Users/Cristian/Documents/Website/Asociatia/new.express.adobe.com/webpage/static/runtime/images/arrow-left.png	(from https://new.express.adobe.com/webpage/static/runtime/runtime.gz.css)
12:45:51	442/442	---M--	200	added ('OK')	image/png	etag:W/%221ba-0%22	https://new.express.adobe.com/webpage/static/runtime/images/arrow-right.png	C:/Users/Cristian/Documents/Website/Asociatia/new.express.adobe.com/webpage/static/runtime/images/arrow-right.png	(from https://new.express.adobe.com/webpage/static/runtime/runtime.gz.css)
12:45:51	1058/1058	---M--	200	added ('OK')	image/png	etag:W/%22422-0%22	https://new.express.adobe.com/webpage/static/runtime/images/left-arrow.png	C:/Users/Cristian/Documents/Website/Asociatia/new.express.adobe.com/webpage/static/runtime/images/left-arrow.png	(from https://new.express.adobe.com/webpage/static/runtime/runtime.gz.css)
12:45:51	1079/1079	---M--	200	added ('OK')	image/png	etag:W/%22437-0%22	https://new.express.adobe.com/webpage/static/runtime/images/right-arrow.png	C:/Users/Cristian/Documents/Website/Asociatia/new.express.adobe.com/webpage/static/runtime/images/right-arrow.png	(from https://new.express.adobe.com/webpage/static/runtime/runtime.gz.css)
12:45:52	47271/47271	---M--	200	added ('OK')	text/html	date:Tue,%2001%20Oct%202024%2009:45:58%20GMT	https://new.express.adobe.com/webpage/static/runtime/assets/styles/icons/gif-placeholder.svg	C:/Users/Cristian/Documents/Website/Asociatia/new.express.adobe.com/webpage/static/runtime/assets/styles/icons/gif-placeholder.html	(from https://new.express.adobe.com/webpage/static/runtime/runtime.gz.css)
12:45:52	970/970	---M--	200	added ('OK')	image/png	etag:W/%223ca-0%22	https://new.express.adobe.com/webpage/static/runtime/images/appreciate-unfilled-valley@2x.png	C:/Users/Cristian/Documents/Website/Asociatia/new.express.adobe.com/webpage/static/runtime/images/appreciate-unfilled-valley@2x.png	(from https://new.express.adobe.com/webpage/static/runtime/runtime.gz.css)
12:45:52	702/702	---M--	200	added ('OK')	image/png	etag:W/%222be-0%22	https://new.express.adobe.com/webpage/static/runtime/images/appreciate-filled-lapis@2x.png	C:/Users/Cristian/Documents/Website/Asociatia/new.express.adobe.com/webpage/static/runtime/images/appreciate-filled-lapis@2x.png	(from https://new.express.adobe.com/webpage/static/runtime/runtime.gz.css)
12:45:52	702/702	---M--	200	added ('OK')	image/png	etag:W/%222be-0%22	https://new.express.adobe.com/webpage/static/runtime/images/appreciate-filled-valley@2x.png	C:/Users/Cristian/Documents/Website/Asociatia/new.express.adobe.com/webpage/static/runtime/images/appreciate-filled-valley@2x.png	(from https://new.express.adobe.com/webpage/static/runtime/runtime.gz.css)
12:45:52	970/970	---M--	200	added ('OK')	image/png	etag:W/%223ca-0%22	https://new.express.adobe.com/webpage/static/runtime/images/appreciate-unfilled-lapis@2x.png	C:/Users/Cristian/Documents/Website/Asociatia/new.express.adobe.com/webpage/static/runtime/images/appreciate-unfilled-lapis@2x.png	(from https://new.express.adobe.com/webpage/static/runtime/runtime.gz.css)
12:45:53	1453/1453	---M--	200	added ('OK')	image/png	etag:W/%225ad-0%22	https://new.express.adobe.com/webpage/static/runtime/images/lightbox_close@2x.png	C:/Users/Cristian/Documents/Website/Asociatia/new.express.adobe.com/webpage/static/runtime/images/lightbox_close@2x.png	(from https://new.express.adobe.com/webpage/static/runtime/runtime.gz.css)
